Name,Price,Age,TXNS,Volume,Makers,5m,1h,6h,24h,Liquidity,MCAP
CHTTR/SOL Chatter AI,$0.0009572,18h,"54,393","54,393","54,393",8.68%,11.75%,65.82%,825%,$147K,$893K
NFTITTIES/SOL NFTITTIES,$0.045776,2h,"20,509","20,509","20,509",-14.59%,72.89%,-34.32%,-34.32%,$31K,$57K
SARA/SOL SARA deployed by Hiero,$0.0002700,3h,"33,560","33,560","33,560",-12.85%,33.99%,224%,224%,$73K,$270K
ReworkdAI/SOL ReworkdAI,$0.0007806,1h,"32,553","32,553","32,553",66.40%,447%,751%,751%,$112K,$780K
zuro/SOL zuro,$0.001544,1d,"126,668","126,668","126,668",6.08%,6.88%,-15.85%,"3,880%",$216K,$1.5M
OA/SOL OpenAgent,$0.002736,14h,"56,757","56,757","56,757",-8.17%,-2.54%,33.80%,"3,048%",$247K,$2.7M
DUNA/SOL DUNA,$0.007690,1d,"101,456","101,456","101,456",-0.72%,-4.30%,-18.86%,-47.83%,$568K,$7.6M
Butthole/SOL Butthole Coin,$0.02488,6d,"23,523","23,523","23,523",0.09%,4.81%,13.08%,-0.27%,$1.0M,$24.8M
dDoge/SOL Dumble Doge,$0.049767,12h,"73,582","73,582","73,582",-7.40%,27.74%,-39.31%,0.35%,$43K,$97K
ZAILGO/SOL Z̶A̴I̴L̶G̶O̸,$0.06394,3d,"40,525","40,525","40,525",-2.62%,-11.54%,-17.83%,51.27%,$2.4M,$62.7M
SKYLAR/SOL SKYLAR,$0.001242,20h,"90,595","90,595","90,595",-1.64%,50.64%,-5.97%,"1,384%",$186K,$1.2M
FU/SOL Farting Unicorn By Elon Musk,$0.0001944,16d,"4,800","4,800","4,800",-0.67%,3.66%,-14.39%,-50.15%,$80K,$194K
Momfolio/SOL Retire My Mom,$0.0003041,13h,"87,858","87,858","87,858",1.10%,8.04%,-61.43%,313%,$86K,$304K
PSPT/SOL Passepartout,$0.001513,2h,"15,830","15,830","15,830",-16.56%,2.74%,"1,893%","1,893%",$161K,$1.5M
PHD/SOL Picture of Hot Dog,$0.0001583,8h,"46,284","46,284","46,284",-9.25%,-21.78%,-82.59%,106%,$58K,$158K
SEEKER/SOL RepoSeeker,$0.002406,17h,"38,319","38,319","38,319",-8.64%,-25.77%,346%,"2,760%",$226K,$2.4M
Thena/SOL Thena Network,$0.0008586,1d,"82,929","82,929","82,929",0.30%,-11.99%,-50.02%,232%,$151K,$858K
KEKT/SOL Kekius Terminalius,$0.0003534,20h,767,767,767,3.59%,26.07%,-18.37%,-24.12%,$3.9K,$353K
SNAI/SOL SwarmNode.ai,$0.1088,13d,"30,696","30,696","30,696",0.77%,9.71%,-1.10%,5.11%,$2.8M,$98.2M
ALCH/SOL Alchemist AI,$0.1902,1mo,"44,324","44,324","44,324",0.54%,2.07%,7.04%,3.84%,$4.4M,$161.7M
Incinerate/SOL Agent Incinerator,$0.0005362,7h,"11,480","11,480","11,480",16.91%,126%,"2,143%",581%,$93K,$536K
2077/SOL 2077 CODE,$0.01394,2d,"23,044","23,044","23,044",1.60%,5.85%,71.18%,182%,$555K,$8.8M
CROY/SOL CROY AI,$0.0002625,5h,"12,422","12,422","12,422",-4.55%,2.16%,247%,247%,$66K,$252K
NN嫌/SOL TRUTHS FIRST TOKEN LAUNCH,$0.0001282,4h,"19,180","19,180","19,180",-19.82%,-46.55%,60.00%,60.00%,$48K,$128K
SIZE/SOL SizeChat,$0.003602,12h,"52,451","52,451","52,451",3.85%,2.07%,-19.27%,"3,595%",$305K,$3.6M
POLARA/SOL Polara,$0.044008,4h,"17,384","17,384","17,384",3.88%,-35.55%,-44.40%,-44.40%,$26K,$40K
CUMCOIN/SOL CUMCOIN,$0.0001737,11h,"44,015","44,015","44,015",22.26%,49.62%,51.73%,120%,$53K,$173K
KEKIUS/WETH Kekius Maximus,$0.1636,20d,"9,096","9,096","9,096",-0.17%,-2.86%,4.58%,18.11%,$3.2M,$163.6M
SP00GE/SOL SP00GE,$0.01036,21h,"158,299","158,299","158,299",6.98%,18.68%,-18.66%,"13,749%",$637K,$10.3M
TELEBOP/SOL TELEBOP AI,$0.0001657,6h,"14,982","14,982","14,982",10.97%,-6.99%,80.39%,130%,$52K,$165K
NORA/SOL NORA,$0.002388,16h,"53,536","53,536","53,536",1.26%,31.13%,14.66%,"2,437%",$223K,$2.3M
arc/SOL AI Rig Complex,$0.3225,23d,"27,364","27,364","27,364",2.19%,-4.83%,7.16%,-9.41%,$5.8M,$322.5M
Trump+Musk/SOL Trump&musk,$0.01016,8h,"28,650","28,650","28,650",-1.80%,4.05%,48.37%,4M%,$959K,$10.16B
KIRO AI/SOL KIRO AI,$0.043197,14h,"38,509","38,509","38,509",-0.06%,-14.11%,-60.06%,-69.14%,$26K,$31K
T3AI/SOL TrustInWeb3,$0.01121,3d,"26,952","26,952","26,952",2.46%,6.20%,24.59%,-16.26%,$568K,$11.0M
VS/SOL Vitasang,$0.0002350,2h,"14,217","14,217","14,217",29.15%,-42.77%,188%,188%,$63K,$235K
GWIZ/SOL Github Wizard,$0.043382,6h,"24,715","24,715","24,715",0.96%,-19.92%,-96.37%,-62.32%,$25K,$33K
SING/SOL Singularity,$0.0001093,1h,"13,837","13,837","13,837",-32.51%,-13.94%,47.61%,47.61%,$42K,$109K
GENESIS/WETH GENESIS,$0.001450,5h,"11,554","11,554","11,554",-10.59%,0.44%,"19,081%","19,081%",$221K,$1.4M
NEUR/SOL neur.sh,$0.04397,10d,"31,641","31,641","31,641",4.76%,7.04%,12.36%,-11.19%,$1.6M,$39.5M
VIRTUAL/WETH Virtual Protocol,$4.19,2mo,"81,502","81,502","81,502",-0.68%,-2.25%,-0.99%,-9.25%,$5.9M,$2.040B
SAI/SOL SAIOS,$0.007861,1d,"54,784","54,784","54,784",1.32%,-3.12%,-3.89%,374%,$413K,$7.8M
TROC/SOL The Real Open Community,$0.0007518,16h,"10,037","10,037","10,037",17.97%,15.38%,27.63%,506%,$112K,$541K
dork/WETH dork,$0.004567,3h,"9,945","9,945","9,945",25.34%,65.57%,"21,655%","21,655%",$494K,$3.6M
VIRUS/SOL Virus Protocol,$0.001972,11h,"16,121","16,121","16,121",1.74%,1.05%,26.73%,"2,216%",$179K,$1.9M
alien4ever/WETH little aliens forever,$0.0008714,4h,"8,098","8,098","8,098",-7.40%,32.54%,"6,085%","6,085%",$225K,$871K
BUZZ/SOL Hive AI,$0.04595,9h,"12,594","12,594","12,594",4.71%,-2.10%,31.48%,122%,$174K,$45.9M
BABYSHARK/SOL Baby Shark Meme,$0.05403,9h,"12,925","12,925","12,925",0.11%,8.59%,50.82%,"56,195%",$989K,$54.0M
LEXICON/SOL Lexicon,$0.01782,4d,"33,401","33,401","33,401",-2.71%,-3.65%,20.25%,1.96%,$1.0M,$17.8M
TRUMPIUS/WETH Trumpius Maximus,$0.002407,3h,"7,686","7,686","7,686",-11.69%,93.92%,"13,861%","13,861%",$171K,$1.0M
2025/SOL Musk2025,$0.057225,2h,"7,948","7,948","7,948",-0.15%,-99.36%,616K%,616K%,$74K,$65.0M
PYTHIA/SOL PYTHIA,$0.02887,7d,"29,319","29,319","29,319",-2.31%,5.62%,-12.55%,-16.46%,$1.2M,$28.8M
SKICAT/WETH SKI MASK CAT,$0.005252,1mo,"3,666","3,666","3,666",-0.77%,-8.13%,-7.96%,-6.04%,$368K,$5.2M
Grind/SOL Self Improving,$0.0002727,1d,"157,941","157,941","157,941",-8.54%,-30.29%,-36.64%,"1,240%",$69K,$272K
DOGEIUS/WETH DOGEIUS,$0.001518,1d,"1,416","1,416","1,416",0.73%,-18.47%,41.30%,"2,433%",$120K,$1.5M
HAWKAI/SUI Hawk AI Security,$0.004547,4h,"3,867","3,867","3,867",1.11%,16.95%,526%,526%,$176K,$454K
ZEREBRO/SOL zerebro,$0.5932,2mo,"25,107","25,107","25,107",-0.52%,-6.55%,-3.93%,-5.07%,$9.6M,$593.2M
ORCL/WETH Oracle,$0.02080,21h,"25,275","25,275","25,275",0.27%,59.10%,103%,252%,$98K,$436K
TRUMP+MUSK/SOL TRUMP+MUSK,$0.009821,3h,"7,043","7,043","7,043",-0.25%,-1.29%,"77,393%","77,393%",$101K,$98.2M
BLUEWAFFLE/SOL BLUE WAFFLE,$0.0004138,18h,"104,136","104,136","104,136",0.32%,-17.23%,22.71%,367%,$78K,$413K
INCU/SOL incu.sh,$0.0008004,22h,"80,753","80,753","80,753",-1.59%,72.07%,82.16%,569%,$147K,$800K
VIRTUAL/WETH Virtual Protocol,$4.21,2mo,"62,002","62,002","62,002",-0.46%,-1.82%,-0.79%,-8.71%,$2.9M,$2.040B
AGENT2025/WETH Agent 2025,$0.008644,6h,"14,052","14,052","14,052",-0.12%,-20.09%,73.69%,47.36%,$62K,$181K
SANDY/SOL Sandy Codex,$0.02430,5h,951,951,951,-6.64%,-0.99%,-4.25%,-4.25%,$103K,$20.2M
GRIFFAIN/SOL test griffain.com,$0.4018,2mo,"26,494","26,494","26,494",-1.07%,-8.40%,-0.95%,3.79%,$8.0M,$401.7M
CURAITOR/WETH CurAItor,$0.01262,6h,"13,528","13,528","13,528",-0.08%,9.73%,13.75%,113%,$75K,$265K
PENGU/SOL Pudgy Penguins,$0.03442,16d,"39,386","39,386","39,386",0.34%,-2.03%,-5.05%,-8.50%,$21.3M,$2.16B
傻逼/SOL 傻逼,$0.043182,4h,"19,374","19,374","19,374",-4.14%,-21.98%,-59.20%,-59.20%,$23K,$31K
AXOL/WETH Based Axol,$0.043620,7h,"13,620","13,620","13,620",1.24%,-1.52%,-23.09%,-49.61%,$16K,$34K
Stoic/SOL Modern Stoic,$0.02431,27d,"24,026","24,026","24,026",1.46%,-4.98%,44.76%,10.97%,$926K,$24.3M
AICMP/SOL AI-Powered CMP,$0.01264,3d,"29,686","29,686","29,686",-0.77%,-2.70%,-7.55%,-28.71%,$729K,$11.7M
ELIZA/SOL Eliza,$0.1196,1mo,"26,520","26,520","26,520",0.29%,-3.21%,16.06%,0.10%,$3.7M,$119.6M
DeSciAI/SOL DeSci AI Agent,$0.0101152,3h,"1,749","1,749","1,749",-7.65%,40.79%,"1,115%","1,115%",$50K,$484K
ZERESIS/SOL Zeresis,$0.0004397,19m,"3,105","3,105","3,105",-7.94%,"22,733%","22,733%","22,733%",$57K,$439K
Musk$Maga/SOL Musk$Maga,$0.01748,4h,"10,968","10,968","10,968",2.95%,43.85%,9M%,9M%,$1.3M,$17.48B
KM/SOL Kekius Maximus,$0.001003,20d,"4,594","4,594","4,594",-0.48%,-1.25%,33.59%,22.88%,$161K,$1.0M
EGG/SOL The Egg,$0.001871,2d,"64,799","64,799","64,799",-2.82%,-8.41%,9.67%,-50.07%,$195K,$1.8M
VRIL/SOL Vril,$0.0005478,9h,"6,538","6,538","6,538",-0.21%,7.02%,92.23%,561%,$91K,$547K
SUMI/WETH SUMI,$0.001451,2mo,203,203,203,0%,-0.30%,-18.98%,41.12%,$155K,$1.4M
Seals/SOL Seals-Ready to Crack Pengu's Ice,$0.0003952,17d,"29,131","29,131","29,131",-1.97%,2.43%,7.14%,-17.26%,$111K,$395K
GREEN/SOL Green Miner,$0.05455,6d,"90,889","90,889","90,889",-3.40%,-7.31%,576%,-9.05%,$1.9M,$54.5M
Fartcoin /SOL Fartcoin ,$1.42,2mo,"23,145","23,145","23,145",-0.13%,1.55%,8.60%,-1.75%,$22.5M,$1.42B
YNE/SOL yesnoerror,$0.04145,14d,"20,309","20,309","20,309",-1.90%,-9.14%,0.07%,-14.18%,$1.6M,$41.4M
INSIDER/SOL INSIDER,$0.0002480,16h,"48,789","48,789","48,789",2.11%,2.95%,-0.92%,12.82%,$56K,$248K
ai16z/SOL ai16z,$2.03,2mo,"43,935","43,935","43,935",-1.14%,-4.39%,2.91%,1.23%,$10.3M,$2.23B
$URO/SOL Urolithin A,$0.05813,3mo,"20,353","20,353","20,353",-3.82%,-3.60%,-15.01%,-27.16%,$2.6M,$58.1M
PATRIOT/WETH Patriot,$0.005434,2mo,760,760,760,0.16%,1.42%,-9.92%,-13.49%,$1.8M,$54.3M
FLAIM/SOL Flaim,$0.047322,10h,"27,000","27,000","27,000",-21.49%,-59.43%,-79.50%,-43.55%,$37K,$73K
AUDIT/SOL Corporate Audit AI,$0.01799,5d,"26,617","26,617","26,617",-0.48%,-13.45%,2.74%,-28.08%,$789K,$17.9M
NEURAL/WETH NeuralAI,$12.29,9mo,474,474,474,0.37%,1.29%,2.00%,23.31%,$4.2M,$122.9M
 屁/SOL  屁,$0.0001826,3h,"6,189","6,189","6,189",-8.42%,69.58%,119%,119%,$53K,$182K
DTSI/VIRTUAL DoTheySupportItBot by Virtuals,$0.01075,16h,"19,573","19,573","19,573",1.77%,-10.34%,9.48%,589%,$1.0M,$10.7M
Digi/SOL Digicoin,$0.075812,12d,"4,481","4,481","4,481",-1.50%,-12.99%,25.54%,-7.51%,$160K,$1.1M
S/SUI Agent S,$0.008569,24d,"38,250","38,250","38,250",-0.71%,-4.37%,-1.70%,-2.15%,$340K,$8.5M
$RIF/SOL Rifampicin,$0.05136,3mo,"20,844","20,844","20,844",-2.05%,-1.00%,-16.36%,-25.35%,$3.1M,$51.3M
MAJOR/SOL Major Frog,$0.03171,1mo,"4,359","4,359","4,359",0.24%,-3.83%,-7.73%,10.70%,$961K,$31.3M
qAI/SOL qAI,$0.001077,15h,"22,530","22,530","22,530",-1.56%,-15.35%,-16.93%,"1,123%",$140K,$1.0M
TRISIG/SOL TRI SIGMA,$0.07726,1mo,"34,423","34,423","34,423",-0.66%,10.04%,0.28%,-2.97%,$1.7M,$77.2M
AUTOS/WETH CryptoAutos,$0.04922,22d,389,389,389,0%,5.21%,2.87%,28.97%,$635K,$15.9M
PENALDO/SOL PENALDO,$0.0004974,5mo,"47,529","47,529","47,529",4.42%,57.93%,197%,64.01%,$136K,$496K
PALM/WETH PaLM AI,$1.16,1y,449,449,449,0.65%,1.26%,0.82%,7.89%,$1.7M,$89.6M
BLINK/SOL blinkdotfun,$0.01574,6mo,"10,782","10,782","10,782",-0.96%,-4.47%,21.66%,104%,$1.0M,$15.7M
WORK/SOL Work For Your Bag,$0.045201,17h,"27,844","27,844","27,844",3.33%,-1.09%,-15.86%,-29.03%,$30K,$52K
MVRS/SOL Magaverse,$0.01754,19d,"16,113","16,113","16,113",-0.46%,-1.98%,-2.46%,-17.63%,$802K,$17.5M
SANDY/SOL Sandy Codex,$0.02569,21h,"1,361","1,361","1,361",0%,5.80%,-6.79%,348%,$150K,$21.3M
KEKIUS/SOL Kekius Maximus,$0.002063,3d,"27,059","27,059","27,059",2.79%,6.47%,-15.64%,40.51%,$264K,$2.0M
HOLYSHIT/SOL Holy Shit,$0.0002939,2h,"5,527","5,527","5,527",-5.38%,-20.63%,267%,267%,$66K,$293K
BIO/SOL BIO Protocol,$0.009343,2h,"6,386","6,386","6,386",-5.84%,9.62%,403M%,403M%,$286K,$934.3M
DOGEUS/SUI DOGEUS MAXIMUS,$0.046655,4h,"8,938","8,938","8,938",40.34%,-36.80%,223%,223%,$30K,$66K
SDRAG/SUI Dragon On Sui,$0.046666,4h,"10,595","10,595","10,595",-2.19%,3.79%,227%,227%,$28K,$66K
UOS/SOL Universal Operating System,$0.01852,1mo,"44,896","44,896","44,896",0.67%,-21.37%,-22.28%,69.15%,$771K,$18.5M
MINIMUS/WETH Pepemus Minimus,$0.046952,20h,"16,106","16,106","16,106",2.58%,-7.26%,242%,-0.38%,$23K,$66K
AVA/SOL Ava AI,$0.1083,1mo,"31,395","31,395","31,395",-0.80%,-0.58%,12.65%,5.21%,$2.5M,$108.3M
VIRTUAL/WETH Virtual Protocol,$4.20,2mo,"36,207","36,207","36,207",-0.54%,-1.83%,-0.80%,-8.83%,$414K,$2.040B
SUAI/SUI SuiAI,$0.01707,29d,"8,542","8,542","8,542",-4.16%,-0.11%,18.95%,94.86%,$578K,$17.0M
aether/SOL aether collective,$0.01128,3d,"2,695","2,695","2,695",0%,-19.61%,6.98%,161%,$85K,$11.2M
CoderGF/SOL Coder GF,$0.003466,20d,"49,548","49,548","49,548",-0.16%,-3.82%,9.62%,-14.90%,$339K,$3.4M
FLSH/SOL FlashWash,$0.0009892,2d,"113,816","113,816","113,816",0.27%,5.47%,17.87%,11.54%,$110K,$752K
CAPITAL/WETH Capital Guard,$0.03278,3d,"17,097","17,097","17,097",-0.08%,-12.54%,-6.91%,-37.69%,$126K,$688K
GIGA/SOL GIGACHAD,$0.09228,11mo,"20,509","20,509","20,509",0.57%,1.64%,-7.45%,18.28%,$9.2M,$886.2M
TRUMPIUS/WETH Trumpius Maximus,$0.2414,2d,"3,897","3,897","3,897",4.33%,-7.96%,61.48%,184%,$583K,$11.3M
SAI/SOL Scope AI,$0.043434,19h,"38,061","38,061","38,061",-0.77%,-3.38%,13.87%,-57.18%,$25K,$34K
SUICY/SUI SUICY the Seal,$0.005884,1mo,"24,644","24,644","24,644",-0.28%,-1.55%,-6.45%,-12.96%,$601K,$5.8M
BERMAN/SOL Justice for Berman,$0.0001120,59m,"5,714","5,714","5,714",-2.21%,36.41%,36.41%,36.41%,$41K,$112K
Hachi Inu/WBNB Hachi Inu,$0.2012,4d,"2,894","2,894","2,894",7.15%,-5.22%,27.06%,27.06%,$116K,$207K
anon/SOL anon rip,$0.044039,5h,"6,670","6,670","6,670",8.15%,46.34%,-49.88%,-49.88%,$24K,$36K
Butthole/USDC Butthole Coin,$0.02490,4d,"2,697","2,697","2,697",0%,5.44%,13.82%,6.63%,$354K,$24.9M
MIKU/SOL Miku,$0.004823,2d,"23,409","23,409","23,409",-1.93%,2.00%,6.63%,-41.76%,$378K,$4.8M
D.O.G.E/SOL Dep Of Government Efficiency,$0.07221,42m,"3,072","3,072","3,072",1.57%,3M%,3M%,3M%,$788K,$7.22B
BONKEY/WETH BONKEY,$0.001353,1mo,"6,109","6,109","6,109",-0.23%,-0.50%,32.34%,41.38%,$118K,$1.2M
AR16z/SOL AR16z,$0.002421,1d,"30,637","30,637","30,637",4.28%,-12.41%,-16.01%,-70.65%,$272K,$2.4M
TRUST/SOL Trust The Process,$0.02052,26d,"16,747","16,747","16,747",-0.22%,14.28%,16.88%,99.71%,$952K,$20.5M
FOG/SOL FOG OF GOD,$0.046877,9h,"167,885","167,885","167,885",-0.38%,-14.22%,-63.89%,-9.66%,$32K,$68K
KiroAI/SOL KiroAI,$0.009536,10h,"22,463","22,463","22,463",2.58%,-1.12%,31.02%,417M%,$298K,$953.6M
CHIDO/WETH Chinese Doge Wow,$0.002016,6mo,"6,696","6,696","6,696",-0.05%,3.15%,16.48%,22.36%,$233K,$1.9M
swarms/SOL swarms,$0.1786,3h,"7,850","7,850","7,850",2.25%,13.33%,5M%,5M%,$397K,$1.78B
aixbt/SOL aixbt,$0.009215,8h,"18,553","18,553","18,553",-2.02%,-11.40%,28.60%,403M%,$291K,$921.5M
Zarya/SOL Zarya,$0.0003122,14h,"20,293","20,293","20,293",-13.95%,-15.98%,30.74%,299%,$75K,$312K
ai16z/SOL ai16z,$2.03,2mo,"16,240","16,240","16,240",-1.06%,-4.74%,3.27%,0.83%,$2.6M,$2.23B
DREAMS/SOL Dreams Come True,$0.0001007,18h,"10,867","10,867","10,867",5.14%,-5.34%,30.89%,12.54%,$39K,$100K
CANNABISAI/WETH CannabisAI,$0.01442,3d,"19,993","19,993","19,993",-0.08%,4.70%,11.53%,-38.16%,$81K,$201K
REX/SOL REX,$0.007955,1mo,"2,360","2,360","2,360",-1.70%,9.52%,-4.39%,-18.61%,$705K,$7.6M
MOSS/SOL MOSS,$0.04240,1mo,"29,546","29,546","29,546",4.18%,8.59%,15.13%,94.27%,$1.1M,$38.5M
SLINKY/SOL Slinky,$0.006668,5d,"17,184","17,184","17,184",-3.40%,-9.69%,7.31%,-11.88%,$629K,$6.6M
vvaifu/SOL Dasha,$0.1058,2mo,"19,217","19,217","19,217",0.74%,2.12%,9.44%,-2.91%,$3.7M,$105.2M
SPX6900/WETH BASED SPX6900,$0.0003062,6d,"10,948","10,948","10,948",-1.70%,-7.22%,-14.72%,42.08%,$55K,$294K
AWW/SOL Agent Whale Watch,$0.049843,14h,"61,114","61,114","61,114",-2.72%,14.23%,-64.76%,-0.45%,$51K,$98K
TAOCAT/VIRTUAL TAOCat by Virtuals,$0.06963,15d,"5,702","5,702","5,702",-0.37%,-6.14%,63.72%,33.47%,$2.6M,$69.6M
BIO/SOL BIO MOON,$0.0129714,16h,"3,589","3,589","3,589",0%,3.46%,-85.76%,-12.74%,$14K,$40K
CHONE/SOL Chill Drone,$0.001220,11d,"3,283","3,283","3,283",-0.11%,-0.68%,-6.70%,18.81%,$139K,$1.2M
PXL/SOL Pixel,$0.01194,17h,"19,814","19,814","19,814",9.61%,26.95%,50.57%,2M%,$208K,$7.6M
GENESIS/SUI GENESIS,$0.0001374,3h,"4,133","4,133","4,133",0%,2.41%,41.29%,41.29%,$185K,$137K
Fartcoin /USDC Fartcoin ,"$6,086.04",2h,533,533,533,-49.60%,-65.76%,517K%,517K%,$196K,$6.080T
BUU/SOL BUU,$0.003176,3mo,"2,639","2,639","2,639",-0.63%,-4.45%,-0.98%,-16.90%,$350K,$3.1M
KIKI/WETH Kiki Flaminki,$0.0002041,2mo,"7,820","7,820","7,820",0%,0.14%,5.61%,15.53%,$60K,$204K
HYPE/USDC HYPE,$24.26,1mo,"339,397","339,397","339,397",1.28%,3.21%,5.55%,-2.57%,-,$24.25B
DEJAVU/SOL DEJA VU,$0.041265,21h,"238,881","238,881","238,881",-0.58%,3.29%,-17.19%,-83.98%,$14K,$12K
ZEREBRO/SOL zerebro,$0.5960,2mo,"36,449","36,449","36,449",0.28%,-6.13%,-3.00%,-4.08%,$447K,$596.0M
🛡️/SOL VERITAS ÆTERNUM,$0.043583,19h,"63,834","63,834","63,834",-0.80%,4.51%,-31.23%,-57.04%,$26K,$35K
RETIRE DAD/SOL RETIRE DAD,$0.046095,11h,"13,040","13,040","13,040",4.12%,12.11%,75.24%,-24.67%,$32K,$60K
COPEX/SOL Cope Coin X,$0.0007842,4h,"2,547","2,547","2,547",0.16%,-32.43%,882%,882%,$106K,$784K
SHRUBIUS/WETH Shrubius Maximus,$0.001015,20h,"2,148","2,148","2,148",7.85%,-8.76%,27.41%,"22,096%",$110K,$1.0M
FWOG/SOL FWOG,$0.2726,5mo,"17,211","17,211","17,211",-0.15%,-0.62%,-1.58%,-7.72%,$8.6M,$265.9M
COOKIE/USDT Cookie,$0.4678,6mo,"15,679","15,679","15,679",0.30%,-0.04%,6.17%,-16.48%,$960K,$86.9M
MemesAI/SOL Memes AI,$0.06405,2mo,"15,294","15,294","15,294",1.79%,1.19%,3.52%,2.05%,$3.4M,$64.0M
dogsheet/SOL Dogsheetcoin,$0.0001734,9d,"1,179","1,179","1,179",0.42%,-21.49%,-44.20%,-67.41%,$68K,$173K
Butthole/SOL Butthole Coin,$0.02494,2d,"1,808","1,808","1,808",0%,5.66%,13.18%,0.14%,$77K,$24.9M
SPX/WETH SPX6900,$1.27,1y,"2,377","2,377","2,377",-0.22%,3.44%,6.23%,35.83%,$17.2M,$1.18B
UFD/SOL Unicorn Fart Dust,$0.07288,16d,"12,152","12,152","12,152",-0.52%,-3.87%,10.41%,5.62%,$2.7M,$72.8M
FREGO/SOL FREGO,$0.01773,2mo,"1,081","1,081","1,081",-0.84%,0.46%,26.89%,14.30%,$573K,$16.2M
SANDY/SOL Sandy Codex,$0.02462,14h,965,965,965,-0.02%,5.69%,-8.14%,261%,$40K,$20.4M
SHEERLUCK/SOL Sheerluck AI,$0.0008852,22h,"25,229","25,229","25,229",-3.78%,13.10%,18.31%,998%,$128K,$885K
AKUMA/WETH Akuma Inu,$0.0003467,1mo,"8,830","8,830","8,830",0.77%,-3.99%,-10.73%,69.04%,$1.1M,$231.1M
IQ/SOL IQ6900,$0.01707,2mo,"13,520","13,520","13,520",-4.07%,0.26%,2.73%,-4.84%,$855K,$17.0M
GgsS/SOL Ggs Solana,$0.002102,1mo,"1,961","1,961","1,961",-0.24%,0.65%,2.18%,15.64%,$197K,$1.9M
TOCO/SOL TOCO,$0.002311,21d,"1,590","1,590","1,590",-0.11%,16.93%,16.52%,-8.38%,$183K,$2.2M
CSDAD/SOL Chill Single Dad,$0.044455,10d,"55,326","55,326","55,326",-1.67%,-0.86%,18.46%,34.06%,$28K,$44K
KIKI/SOL KIKICat,$0.05573,12d,"7,360","7,360","7,360",0.01%,-4.83%,14.15%,4.15%,$1.2M,$55.7M
arc/SOL AI Rig Complex,$0.3213,23d,"19,569","19,569","19,569",0.86%,-5.26%,7.77%,-9.37%,$725K,$321.3M
M/WBNB Mustard,$0.058361,20h,"1,395","1,395","1,395",-7.47%,174%,174%,174%,$86K,$351K
VIRTUAL/WETH Virtual Protocol,$4.21,-,"14,187","14,187","14,187",-0.35%,-1.61%,-0.64%,-8.49%,$8.9M,$2.050B
KEKIUS/SOL Chinese Kekius Maximus,$0.043849,11h,"8,410","8,410","8,410",-0.18%,-18.51%,-75.38%,-51.28%,$24K,$38K
COCO/USDT COCO COIN,$0.001961,5mo,"4,099","4,099","4,099",-0.57%,0.38%,-7.19%,-21.97%,$13.6M,$67.0M
SNAI/SOL SwarmNode.ai,$0.1083,6d,"17,250","17,250","17,250",0.26%,9.78%,-1.12%,5.07%,$224K,$97.8M
SIMULA/SOL Simula AI,$0.0007647,1d,"24,619","24,619","24,619",-0.50%,-3.83%,-34.43%,-60.59%,$138K,$764K
BUZZ/SOL Hive AI,$0.04500,10h,"6,339","6,339","6,339",3.21%,-3.64%,26.61%,457%,$339K,$44.9M
PRONUT/SOL The Nutting Professor,$0.003299,1mo,119,119,119,-0.56%,-0.72%,-0.62%,-10.42%,$259K,$3.2M
