Name,Price,Age,TXNS,Volume,Makers,5m,1h,6h,24h,Liquidity,MCAP
DCK/BUSD DexCheck,$0.02235,1y,380,380,380,0.70%,3.22%,-1.51%,-8.67%,$157K,$15.1M
FREYA/VIRTUAL Freya by Virtuals,$0.02700,1mo,"2,007","2,007","2,007",-0.27%,-6.55%,54.42%,-12.22%,$1.7M,$17.9M
CTRL/WBNB Control Token,$0.003150,4mo,8,8,8,0%,0%,-0.56%,-0.86%,$552K,$3.1M
ANNON/WETH ANNON,$0.068822,8h,"2,730","2,730","2,730",-1.51%,-6.40%,-36.05%,113%,$82K,$88K
tremp/SOL doland tremp,$0.1412,10mo,"2,380","2,380","2,380",-2.39%,-6.52%,13.67%,26.67%,$1.7M,$14.1M
PINGU/SOL pingu,$0.001196,4mo,"3,723","3,723","3,723",-0.14%,-0.78%,2.17%,-4.16%,$126K,$1.1M
SOLIMP/SOL SOLIMP,$0.001350,10d,"3,351","3,351","3,351",8.93%,7.23%,11.29%,177%,$148K,$1.3M
SPX/WETH SPX6900,$1.27,3mo,"1,425","1,425","1,425",-0.06%,4.40%,5.79%,35.48%,$2.2M,$1.18B
CHAOS/SOL chaos and disorder,$0.003260,2mo,"7,505","7,505","7,505",-0.76%,-3.60%,-8.56%,32.50%,$504K,$3.2M
Bonk/SOL Bonk,$0.043303,1mo,"9,843","9,843","9,843",0%,0.32%,5.18%,1.81%,$82K,$2.51B
R/VIRTUAL ResearchSynth by Virtuals,$0.001265,1d,"1,423","1,423","1,423",-0.09%,-2.74%,-11.62%,-25.21%,$343K,$1.2M
POPPY/SOL POPPY,$0.001713,6d,"4,906","4,906","4,906",2.91%,-2.44%,-12.89%,17.67%,$231K,$1.7M
CRISPR/SOL Cas9,$0.005556,19d,"3,934","3,934","3,934",-0.25%,1.29%,27.12%,-27.27%,$340K,$5.5M
DOGECAST/WETH Dogecast,$0.02109,1mo,470,470,470,-0.05%,-0.58%,0.77%,3.53%,$798K,$21.0M
SAI/WETH Sharpe AI,$0.06920,4mo,"1,466","1,466","1,466",0%,3.66%,-12.87%,25.39%,$619K,$15.3M
FWOG/WETH Based Fwog,$0.057369,22d,"2,044","2,044","2,044",-0.20%,-0.20%,5.02%,-14.37%,$296K,$736K
DNA/SOL DNA,$0.0105837,1mo,"4,265","4,265","4,265",0.49%,-4.30%,-5.86%,-7.49%,$373K,$2.4M
JLP/USDC Jupiter Perps LP,$4.35,10mo,"26,101","26,101","26,101",-0.06%,-0.12%,0.92%,0.92%,$1.0M,$1.68B
KIRA/SOL Kira powered by Infera,$0.008785,2mo,"7,772","7,772","7,772",-0.66%,-1.47%,21.38%,-9.25%,$738K,$8.7M
TVRS/SOL Trumpverse,$0.044880,23h,"71,837","71,837","71,837",-11.15%,-30.23%,-28.90%,"1,116%",$15K,$46K
FDREAM/WETH DR3AM Fund,$0.01599,6d,"3,347","3,347","3,347",-0.15%,5.16%,22.42%,8.18%,$1.3M,$17.5M
blormmy/SOL blormmy,$0.007021,2mo,"5,355","5,355","5,355",-1.12%,-6.84%,2.73%,-30.12%,$711K,$7.0M
COOKIE/WETH Cookie,$0.4726,19d,"4,107","4,107","4,107",0.27%,2.79%,6.23%,-16.65%,$692K,$87.8M
$CBR/WBNB CryptoBoar,$0.001563,3mo,693,693,693,-0.39%,-1.74%,-2.35%,-5.49%,$143K,$1.5M
SUITE/SUI Suite,$0.1923,3mo,"3,649","3,649","3,649",-0.34%,0.83%,2.38%,15.53%,$158K,$1.9M
DOA/WETH DAO of Agents (DoA),$0.01331,23h,"5,339","5,339","5,339",-2.26%,-15.97%,-52.76%,126%,$80K,$279K
EGO/USDT Paysenger EGO,$0.01589,1y,162,162,162,0%,2.19%,-1.06%,-8.18%,$204K,$5.1M
MORPHAI/WETH Morph AI,$0.1679,27d,665,665,665,0%,3.25%,0.26%,20.01%,$778K,$16.7M
BabyGrok/WBNB Baby Grok,$0.0112672,1y,57,57,57,0%,0.52%,-0.02%,-1.55%,$707K,$1.0M
RSC/WETH ResearchCoin,$1.35,2y,307,307,307,4.60%,10.45%,8.77%,14.64%,$2.4M,$128.9M
FNX/WETH Fenix,$0.06504,1mo,91,91,91,0%,0%,0.03%,-1.45%,$836K,$1.1M
BAI/WETH 0xBuildAI,$0.01630,17h,742,742,742,0%,7.91%,23.49%,"4,200%",$47K,$163K
FRED/SOL First Convicted RACCON,$0.02788,2mo,"6,006","6,006","6,006",-0.13%,-2.30%,1.23%,-13.03%,$2.6M,$27.8M
TREEINCAT/SOL Tree stuck in cat,$0.0008048,26d,55,55,55,0%,1.58%,0.99%,11.66%,$107K,$796K
YES/WETH YESv2(real),$4.61,6mo,76,76,76,0%,0.54%,0.26%,-1.27%,$8.2M,$58.4M
QUBIT/SOL Qubit The Quantum Dog,$0.002194,7d,"5,331","5,331","5,331",-0.99%,8.55%,45.47%,103%,$272K,$2.1M
SBR/WETH STRATEGIC BITCOIN RESERVE,$1.06,1mo,302,302,302,0%,4.19%,4.52%,25.72%,$1.4M,$22.4M
PUCCA/SOL PUCCA,$0.0001227,11h,"11,568","11,568","11,568",-0.45%,0.31%,2.10%,"95,109%",$92K,$98.1M
WECO/WBNB WECOIN,$0.0003809,1y,98,98,98,0%,0.14%,-0.26%,-2.18%,$189K,$3.7M
HashAI/WETH HashAI,$0.001356,9mo,519,519,519,0%,0.26%,4.10%,27.67%,$4.5M,$121.3M
 MEAI/USDT MeAI,$0.004962,30d,134,134,134,0%,0%,-1.06%,-4.82%,$109K,$4.9M
GENIE/WETH Genie Ai,$0.2396,10d,540,540,540,-10.38%,-23.84%,-38.05%,-54.06%,$193K,$2.1M
XPX/WBNB XPX,$0.041371,6mo,18,18,18,0%,0.60%,0.03%,-4.85%,$239K,$1.1M
ENA/WETH ENA,$1.12,9mo,400,400,400,0.07%,6.44%,9.39%,5.79%,$10.9M,$3.31B
PEIPEI/WETH PeiPei,$0.079773,6mo,547,547,547,-0.14%,0.87%,-0.28%,-4.52%,$2.4M,$41.1M
SAFE/SOL Safecoin,$0.043843,1d,"20,573","20,573","20,573",2.96%,11.17%,-3.95%,33.70%,$91K,$379K
BUCK/WBNB BUCK INU,$0.064465,24d,469,469,469,-1.35%,-4.86%,3.11%,-12.35%,$122K,$313K
KNOT/SOL Knot Diffie–Hellman,$0.006118,1mo,"6,944","6,944","6,944",-0.02%,9.05%,11.64%,-9.49%,$426K,$6.1M
MOCHI/WBNB Mochi DeFi,$0.0111492,8mo,35,35,35,0%,0%,-0.48%,-1.44%,$143K,$368K
Neiro/WETH Neiro,$0.001023,5mo,214,214,214,0%,1.13%,5.26%,0.68%,$11.9M,$430.5M
DOGEUS/SOL Dogeus Maximus,$0.0001830,2d,"8,470","8,470","8,470",-0.72%,-24.51%,-44.01%,-15.84%,$48K,$183K
$PAAL/WETH PAAL AI,$0.3775,1y,971,971,971,-0.11%,0.08%,1.57%,9.68%,$9.0M,$332.2M
ITHACA/USDT Ithaca Protocol,$0.06444,15d,330,330,330,0%,-0.76%,1.58%,3.56%,$106K,$5.1M
MUSIC/VIRTUAL MUSIC by Virtuals,$0.02284,1mo,"1,813","1,813","1,813",0.11%,-0.09%,-11.26%,-38.63%,$1.6M,$22.7M
H4CK/VIRTUAL H4CK Terminal by Virtuals,$0.02038,23d,"2,107","2,107","2,107",-1.15%,3.08%,-4.71%,-7.71%,$1.5M,$20.1M
PIRATE/USDT PirateCash,$0.02335,7mo,"1,266","1,266","1,266",-0.01%,0%,0.17%,0.42%,$1.3M,$1.4M
WAGMI/wS Wagmi,$0.02179,13d,"4,173","4,173","4,173",2.80%,8.54%,13.52%,61.02%,$546K,$21.0M
THE/USDT THENA,$1.49,1y,"1,310","1,310","1,310",0%,-0.62%,-1.12%,-9.64%,$394K,$135.0M
convo/SOL Convo.wtf,$0.002444,30d,"4,056","4,056","4,056",-0.18%,4.12%,-5.88%,21.65%,$283K,$2.4M
TRUMP/WETH MAGA,$1.71,1y,297,297,297,-0.16%,-0.09%,3.64%,7.80%,$5.2M,$77.7M
BITCOIN/WETH HarryPotterObamaSonic10Inu,$0.1947,1y,357,357,357,-0.11%,0.34%,-0.06%,9.25%,$12.0M,$194.6M
AAAHHM/SOL Plankton in Pain,$0.01907,25d,"4,924","4,924","4,924",-0.84%,-0.26%,2.21%,17.79%,$734K,$19.0M
INDEX/SOL INDEX 690 : MEMECOIN SUPERCYCLE,$0.0009840,19d,"2,947","2,947","2,947",-0.78%,-13.53%,-4.15%,106%,$150K,$915K
axlLqdr/WBNB Axelar Wrapped Lqdr,$0.9561,1mo,45,45,45,0%,0.38%,-0.57%,0.10%,$902K,$3.9M
MDOGE/WBNB Mars Doge,$0.054243,1mo,416,416,416,0%,0.76%,-14.69%,-28.71%,$152K,$809K
XMW/WETH Morphware,$0.1671,3mo,339,339,339,0%,-0.29%,2.91%,11.77%,$4.4M,$130.4M
ORBIT/WETH OrbitAI,$0.4767,23d,428,428,428,0%,1.29%,-9.81%,-31.43%,$375K,$4.5M
HOPPY/WETH Hoppy,$0.0001127,9mo,472,472,472,-0.07%,1.33%,-0.31%,26.53%,$2.4M,$47.4M
pepecoin/WETH pepeCoin,$2.11,1y,368,368,368,0%,-0.48%,-10.26%,-10.23%,$7.4M,$232.0M
TYPE/WETH TypeAI,$0.7475,11mo,177,177,177,-0.53%,-12.23%,6.61%,23.67%,$706K,$7.1M
GTGOLD/USDT GTGOLD COIN,$0.055780,26d,475,475,475,0%,2.57%,-2.43%,-21.36%,$100K,$953K
USUAL/WETH USUAL,$0.9310,16d,424,424,424,-0.24%,0.93%,-3.64%,-10.85%,$4.4M,$457.6M
ULTI/WETH ULTI,$0.001039,4d,248,248,248,0.85%,4.25%,-37.84%,-69.91%,$198K,$423K
GROKINU/WBNB Grok Inu,$0.0123146,1y,1,1,1,0%,0%,0%,0%,$150K,$131K
FEEDY/WETH Muscle Feed,$0.0002455,20h,"10,877","10,877","10,877",0.09%,0%,-1.92%,514%,$83K,$103K
ELIZA/swarms Eliza,$0.1208,6d,"4,154","4,154","4,154",0%,-1.40%,18.78%,3.40%,$1.3M,$120.8M
AURK/WETH Aurk AI,$0.04523,21d,432,432,432,0%,0.76%,-3.69%,-17.00%,$263K,$4.4M
BOOE/WETH Book of Ethereum,$0.3264,8mo,202,202,202,0%,-1.26%,3.06%,31.42%,$1.3M,$32.6M
TWAT/SOL Twat Coin by Zerebro,$0.0001190,15h,"13,514","13,514","13,514",1.94%,22.49%,254%,53.26%,$45K,$119K
JOE/WETH Joe Coin,$0.03498,1y,182,182,182,-0.22%,6.25%,14.41%,43.05%,$3.1M,$34.9M
SIMAI/WETH Simian AI,$0.02036,16d,273,273,273,-1.43%,0.23%,19.13%,-22.32%,$200K,$1.9M
BULL/SOL BuLLCoiN,$0.048769,5h,"1,259","1,259","1,259",1.70%,-3.56%,10.27%,10.27%,$35K,$87K
BABYBNB/WBNB BabyBNB,$0.005078,3mo,402,402,402,0%,-0.40%,1.86%,-2.63%,$262K,$5.0M
LUNA/VIRTUAL Luna by Virtuals,$0.1300,2mo,"2,749","2,749","2,749",-0.48%,-2.14%,-0.12%,-13.65%,$19.1M,$129.8M
AGME/SOL AgentMe,$0.002479,8d,"5,364","5,364","5,364",3.22%,6.59%,20.63%,52.25%,$215K,$2.4M
DOGS/TON Dogs,$0.0005478,4mo,"2,063","2,063","2,063",-0.12%,-0.41%,2.64%,-0.70%,$1.5M,$283.0M
ForexLens/SOL Forex Lens,$0.001434,5d,"4,363","4,363","4,363",7.73%,9.94%,12.30%,-12.86%,$190K,$1.4M
DOGEFATHER/WETH The DogeFather,$0.002977,1mo,367,367,367,-0.17%,-1.05%,18.41%,-13.47%,$198K,$2.9M
TOKI/WETH Toki,$0.083200,22d,562,562,562,0%,-5.93%,14.65%,29.69%,$185K,$1.3M
GRASS/SOL Grass,$3.13,2mo,"6,686","6,686","6,686",-0.35%,-4.30%,-2.95%,-0.46%,$3.0M,$765.4M
AGENT/WETH AgentAlgo,$0.9652,1mo,"4,051","4,051","4,051",-0.08%,-3.65%,22.48%,-12.24%,$874K,$20.2M
BORED/WAPE BORED,$0.008257,2mo,"1,254","1,254","1,254",-0.23%,-0.08%,3.73%,1.86%,$433K,$8.2M
POSEIDON/WBNB Binance Cat,$0.0002544,7mo,49,49,49,0%,0%,-0.58%,-11.67%,$117K,$254K
OMEGA/WAPE OMEGA,$0.001506,2mo,13,13,13,0%,0%,0.36%,15.24%,$174K,$1.5M
AION/WETH AION 5100,$1.45,20d,"3,323","3,323","3,323",-0.64%,-7.23%,-15.17%,-19.86%,$995K,$30.4M
DEAI/WETH Zero1 Token,$0.5889,9mo,361,361,361,0%,0.92%,-1.09%,-5.83%,$6.4M,$57.4M
MAI/WETH modulα.αi,$0.01787,18h,"1,216","1,216","1,216",0%,2.68%,2.16%,"3,236%",$43K,$178K
EMP/WETH Empyreal,$339.43,1y,378,378,378,0%,0.74%,-1.35%,-6.35%,$4.9M,$85.6M
AI/WBNB Any Inu,$0.059107,1y,342,342,342,-3.16%,-2.43%,-3.14%,-9.78%,$70K,$1.0M
PIT/WBNB Pitbull,$0.093821,-,168,168,168,0%,0.40%,0.03%,-1.12%,$8.0M,$14.9M
bhole/SOL Buttholes,$0.001396,2mo,"5,047","5,047","5,047",3.71%,8.74%,-20.32%,-54.54%,$213K,$1.3M
QF/WETH QuantumFusion,$3.66,7mo,294,294,294,0%,2.24%,8.18%,29.40%,$1.3M,$36.6M
INC/WPLS Incentive,$1.77,1y,"1,951","1,951","1,951",0%,0.45%,2.28%,-7.27%,$29.7M,$91.8M
BRETT/WETH Brett,$0.1392,8mo,"4,682","4,682","4,682",-0.19%,0.79%,4.54%,0.85%,$222K,$1.38B
Luigi/SOL Luigi Mangione,$0.006847,24d,"3,623","3,623","3,623",-0.01%,-9.87%,-11.32%,-9.64%,$830K,$6.8M
PATRIOT/SUI Patriot,$0.0002411,4h,"1,251","1,251","1,251",0%,0%,155%,155%,$303K,$241K
ORO/USDC.e ORO,$0.02738,2mo,"30,727","30,727","30,727",-0.21%,-5.89%,10.59%,-7.26%,$23K,$399K
DOLA/SUI Dolphin Agent,$0.001225,5d,"2,093","2,093","2,093",5.86%,41.58%,41.67%,43.63%,$173K,$1.2M
SERV/WETH OpenServ,$0.1046,1mo,253,253,253,-0.09%,0.03%,4.44%,8.45%,$6.5M,$69.4M
TITANX/WETH TITAN X,$0.065420,1y,400,400,400,-0.13%,-0.29%,0.89%,-1.95%,$3.9M,$58.9M
DNA/WETH Muhdo Hub,$0.05748,10d,388,388,388,0%,-6.39%,-11.85%,-22.32%,$1.2M,$459.8M
AiSTR/WETH AicroStrategy,$0.008069,11d,"5,037","5,037","5,037",-0.18%,-2.98%,0.81%,-10.97%,$537K,$8.8M
SP500/SOL Shit & Piss 500,$0.001222,6d,"5,791","5,791","5,791",0.38%,4.12%,11.66%,37.69%,$219K,$1.2M
VINU/WBNB Vita Inu,$0.073228,30d,"1,502","1,502","1,502",-0.19%,-0.19%,-1.26%,-3.77%,$202K,$29.0M
$WIF/SOL dogwifhat,$2.03,7mo,"11,033","11,033","11,033",-0.16%,-0.54%,3.58%,0.28%,$2.3M,$2.030B
FWOG/SOL FWOG,$0.2664,1mo,"6,788","6,788","6,788",-0.35%,0.16%,-0.52%,-9.87%,$282K,$259.9M
SHIRO/WETH Shiro Neko,$0.061219,1mo,414,414,414,-0.77%,-1.60%,-1.52%,15.35%,$1.4M,$121.9M
CATE/WBNB CateCoin,$0.062019,3y,87,87,87,0%,0.43%,0.28%,-1.25%,$669K,$11.6M
WOLF/WETH Landwolf,$0.0001760,8mo,376,376,376,0%,-0.07%,0.65%,-4.40%,$4.0M,$158.8M
OMAGENT/WETH OmniAgent,$0.002062,21d,375,375,375,0%,2.67%,-26.01%,0.70%,$227K,$2.0M
AKIKO/SOL AKIKO,$0.047353,1d,"14,500","14,500","14,500",2.23%,1.59%,3.26%,-36.60%,$36K,$73K
MSTR/WETH MSTR2100,$0.6007,2mo,270,270,270,0%,0.20%,-0.04%,25.29%,$1.3M,$12.4M
TAI/SOL TARS AI,$0.3521,8mo,"4,141","4,141","4,141",-0.09%,-1.13%,4.02%,-7.36%,$2.5M,$206.6M
 j⧉nus/SOL terminal of truths,$0.001472,2mo,"1,019","1,019","1,019",0%,-1.66%,4.37%,91.49%,$167K,$1.4M
VIRTUAL/USDC Virtual Protocol,$4.21,8mo,"4,795","4,795","4,795",-0.26%,-1.48%,-0.64%,-8.53%,$912K,$2.050B
KM/SOL Kekius Maximus,$0.0009882,1d,256,256,256,0%,-1.87%,30.55%,8.48%,$15K,$988K
MCRT/WBNB MagicCraft,$0.001000,3y,73,73,73,0%,-0.29%,0.99%,0.44%,$363K,$5.0M
ORB/USDC.e Orb,$0.001236,2mo,"7,968","7,968","7,968",-0.17%,-1.88%,27.49%,10.47%,$43K,$1.1M
DESCI/USDT SUI Desci Agents,$0.01581,11d,576,576,576,-0.18%,-0.72%,-11.40%,-11.16%,$241K,$7.9M
OSAK/WBNB Osaka Protocol,$0.061911,1y,26,26,26,0%,0%,-1.16%,1.49%,$212K,$1.1M
JUICE/WETH Juice,$0.001935,9mo,40,40,40,0%,0%,-0.51%,-5.79%,$424K,$640K
0x0/WETH 0x0.ai: AI Smart Contract Auditor,$0.2995,1y,610,610,610,0%,0.03%,0.99%,9.13%,$13.3M,$266.9M
a16g/SOL a16gems,$0.002170,2mo,965,965,965,0.27%,10.12%,66.59%,91.26%,$222K,$2.1M
never/SOL neversol,$0.059981,11mo,"6,699","6,699","6,699",-0.14%,-1.73%,-0.23%,1.05%,$154K,$792K
CATS/WBNB GoldenCat,$0.065530,2mo,188,188,188,0%,0.67%,-1.52%,0.07%,$207K,$373K
AURA/WETH Aura AI,$0.004524,16d,214,214,214,0%,5.71%,-20.92%,5.59%,$101K,$452K
LOFI/SUI LOFI,$0.1229,1mo,"8,014","8,014","8,014",-0.28%,0.34%,0.27%,7.43%,$3.0M,$122.9M
BOBO/WETH BOBO,$0.069361,1y,398,398,398,0.09%,0.79%,2.42%,-10.09%,$3.7M,$62.2M
ULTRON/SOL ultronai,$0.002516,17d,"3,543","3,543","3,543",0%,3.87%,-7.15%,-22.89%,$203K,$2.5M
AICM/WETH AI Crypto Marketplace,$0.02122,29d,719,719,719,0%,2.78%,-17.02%,-16.72%,$374K,$4.2M
MANE/WBNB MANE,$0.04067,10mo,136,136,136,0%,0.52%,-0.20%,-0.92%,$303K,$1.3M
wALV/WBNB Alvey Chain,$0.007903,2y,168,168,168,0.03%,-0.33%,-1.13%,-3.77%,$124K,$922K
SDM/WBNB Shieldeum,$0.09178,-,511,511,511,0%,1.34%,-11.70%,-5.32%,$207K,$7.7M
$MYST/WETH MYST,$0.02430,15d,428,428,428,0%,-4.42%,-2.43%,-17.33%,$279K,$2.4M
NPC/WETH Non-Playable Coin,$0.02255,1y,494,494,494,0.33%,1.93%,1.86%,-7.95%,$4.6M,$181.5M
BKOK/USDT BlackRock_FinTech,$0.2987,3mo,479,479,479,0%,0.60%,0.42%,-1.94%,$618K,$4.1M
FRIC/SOL FRIC,$0.009399,1mo,"3,208","3,208","3,208",1.39%,0.30%,17.08%,6.45%,$829K,$9.3M
MONKY/WBNB Wise Monkey,$0.041030,-,608,608,608,0%,-1.12%,-1.66%,-9.74%,$865K,$103.0M
METAV/ai16z METAVERSE,$0.06100,5d,"5,076","5,076","5,076",-0.12%,3.64%,16.60%,6.32%,$278K,$61.0M
21M/WBNB 21Million,$0.07932,1y,122,122,122,0%,-2.71%,-1.06%,-2.58%,$178K,$1.4M
FROG/WBNB Frodo the virtual samurai,$0.003033,24d,281,281,281,0%,0.29%,2.92%,18.10%,$231K,$15.1M
AXGT/WETH AxonDAO Governance Token,$0.3549,10mo,361,361,361,0%,1.65%,6.56%,19.01%,$1.9M,$70.7M
TRX/WETH TRON,$0.2635,18d,241,241,241,0%,0.19%,-0.40%,-0.41%,$32.4M,$66.8M
COCO/WBNB COCO COIN,$0.001976,-,577,577,577,0%,2.89%,-6.27%,-20.55%,$200K,$67.5M
ANDY/WETH Andy,$0.0001931,9mo,385,385,385,0%,1.71%,5.40%,5.21%,$5.7M,$193.1M
ANYONE/WETH ANyONe Protocol,$1.55,6mo,374,374,374,-0.42%,-4.35%,-5.73%,8.05%,$5.5M,$155.5M
$NOAI/WETH NordAI,$0.009913,12d,160,160,160,0%,0.33%,21.95%,17.75%,$163K,$1.9M
XODEX/WBNB XODEX,$0.0002885,1y,92,92,92,-0.08%,-0.20%,0.38%,-7.19%,$327K,$2.0M
NEOS/WETH Neos.ai,$0.1273,30d,438,438,438,-0.10%,-3.04%,-0.10%,12.15%,$832K,$12.7M
LIMBO/SOL LIMBO,$0.004422,1mo,"2,363","2,363","2,363",-3.85%,-3.50%,-3.66%,41.63%,$414K,$4.4M
FMC/WETH Fame AI,$0.002682,1y,448,448,448,0.82%,8.53%,5.20%,-17.03%,$303K,$6.9M
NASDAQ420/WETH Nasdaq420,$0.009458,3mo,201,201,201,0%,0.45%,-12.17%,49.77%,$428K,$9.4M
EAI/WETH EAI,$0.2005,7mo,190,190,190,0%,0.71%,-0.88%,-4.30%,$3.0M,$42.8M
BANANA/WETH Banana,$41.24,1y,392,392,392,0%,-1.65%,-1.34%,4.85%,$10.4M,$142.9M
MAGA/WETH MAGA,$0.047534,7mo,245,245,245,0%,-0.81%,11.99%,10.91%,$2.7M,$30.9M
CUMMIES/SUI Cumrocket,$0.0001655,1h,"1,204","1,204","1,204",0.44%,9.43%,67.96%,67.96%,$241K,$165K
SENTAI/WETH SentAI,$0.8218,14d,116,116,116,0%,6.66%,62.73%,3.14%,$147K,$821K
KOMA/USDT Koma Inu,$0.1203,29d,105,105,105,0%,0.41%,3.09%,-2.60%,$105K,$81.6M
oGPU/WETH OPEN GPU,$2.33,8mo,219,219,219,1.68%,2.63%,4.90%,6.20%,$1.8M,$48.9M
PURPE/SOL Purple Pepe,$0.0001104,6mo,"3,891","3,891","3,891",1.16%,6.94%,4.91%,-0.32%,$1.5M,$46.4M
ACOLYT/VIRTUAL Acolyte by Virtuals,$0.04323,1mo,"1,739","1,739","1,739",0%,2.76%,10.63%,0.25%,$2.1M,$32.4M
CHATTY/WETH Chatty,$0.052291,1mo,1,1,1,0%,0%,0%,0%,$126K,$963K
SSS/WETH SSS,$0.083958,8mo,6,6,6,0%,0%,0%,-0.23%,$2.8M,$2.1M
SELFIE/SOL SelfieDogCoin,$0.01482,7mo,"1,535","1,535","1,535",-0.77%,-0.51%,6.93%,25.70%,$1.6M,$14.8M
GOV/SOL The Government,$0.049941,21h,"1,476","1,476","1,476",-9.04%,24.44%,54.85%,8.58%,$37K,$89K
wQUIL/WETH Wrapped QUIL,$0.07628,7mo,187,187,187,0%,0.26%,0.48%,5.68%,$3.3M,$65.2M
THE/USDT THENA,$1.50,-,298,298,298,0%,0%,-0.77%,-8.33%,$731K,$135.6M
PAI/WETH ParallelAI,$0.8172,3mo,417,417,417,0%,0.63%,-1.88%,8.35%,$1.6M,$81.7M
MOON/WETH Black Unicorn Corp.,$0.001955,20d,33,33,33,0%,0.58%,0.20%,-1.22%,$1.7M,$26.4M
KEKIUS/SOL Kekius Maximus,$0.0008856,4d,"3,235","3,235","3,235",0.78%,-0.17%,-8.06%,-18.93%,$208K,$885K
NEI/WBNB Neurashi,$0.008160,1y,98,98,98,0%,0.29%,0.26%,-1.08%,$137K,$121.1M
$R3D/SOL Red Genesis,$0.002726,27d,"2,872","2,872","2,872",0.66%,-13.73%,-33.80%,-37.44%,$249K,$2.6M
SpacePi/WBNB SpacePi Token,$0.099932,2y,74,74,74,0%,0.53%,0.09%,-0.99%,$1.6M,$1.9M
NODE/WETH NodelyAI,$0.009210,3mo,351,351,351,0%,2.03%,-2.86%,-7.08%,$314K,$9.0M
ENVOY/WETH Envoy A.I,$0.0008392,21d,208,208,208,-1.87%,-10.65%,-12.23%,-31.17%,$135K,$739K
SUPAI/SOL SuperFruits AI,$0.003039,12d,"4,619","4,619","4,619",-6.67%,27.30%,20.53%,7.38%,$316K,$3.0M
GMR/WBNB GAMER,$0.003418,1y,159,159,159,0%,0.40%,-0.25%,0.48%,$100K,$1.1M
$MICRO/WETH Micro GPT,$0.01998,8mo,387,387,387,0%,-2.89%,-5.34%,-22.73%,$932K,$19.9M
AIXCB/VIRTUAL aixCB by Virtuals,$0.08632,24d,"1,562","1,562","1,562",-0.48%,-1.63%,21.23%,-6.54%,$3.0M,$85.7M
AIT/SOL AI Trader Agent,$0.003380,13d,"3,393","3,393","3,393",-0.05%,7.88%,-21.54%,-17.09%,$310K,$3.3M
CATA/WBNB CATAMOTO,$0.047592,8mo,57,57,57,0%,0%,-2.29%,-2.99%,$115K,$1.4M
SHIFU/WETH Shifu,$0.049196,13d,170,170,170,-0.13%,-0.96%,-4.32%,-6.34%,$1.8M,$7.6M
BabyDoge/WBNB Baby Doge Coin,$0.083220,2y,106,106,106,-0.06%,1.05%,2.18%,-0.89%,$439K,$527.4M
GPU/WETH NodeAI,$1.45,1y,254,254,254,-0.02%,0.09%,0.63%,-8.01%,$3.5M,$141.6M
COOKIE/WETH Cookie,$0.4727,-,"5,420","5,420","5,420",0.33%,2.22%,6.77%,-17.37%,$136K,$87.9M
PEPE/WETH Pepe,$0.042067,1y,322,322,322,0%,0.09%,1.47%,-1.55%,$6.8M,$8.55B
TURBO/WETH Turbo,$0.009387,1y,267,267,267,0%,0.65%,2.99%,-1.64%,$284K,$647.7M
NMT/USDC NetMind Token,$3.14,10mo,188,188,188,0%,0%,1.23%,2.62%,$4.5M,$135.2M
Cheems/USDT Cheems,$0.051026,24d,395,395,395,0%,-1.81%,2.10%,9.63%,$423K,$209.0M
PARA/WBNB Paramecium,$0.01780,17d,13,13,13,0%,0%,0.02%,-2.10%,$486K,$17.8M
SiShengSheng/USDT SiShengSheng,$0.041430,16d,118,118,118,0%,-1.93%,0.33%,-1.28%,$111K,$825K
SLAYER/VIRTUAL ThreatSlayerAI by Virtuals,$0.004789,2d,"3,423","3,423","3,423",0.93%,-9.83%,2.87%,22.24%,$684K,$4.7M
SENSI/WBNB Sensi,$0.01030,2y,5,5,5,0%,0%,-0.61%,-1.04%,$199K,$1.9M
DOBO/WBNB DogeBonk.com,$0.086830,3y,39,39,39,0%,0.33%,0%,-0.80%,$3.0M,$3.7M
PULSE/WETH Pulse3D,$0.002044,22d,257,257,257,-0.42%,2.41%,1.73%,8.25%,$174K,$2.0M
LIGHT/WBNB Lightning,$0.007901,3y,4,4,4,0%,0.28%,0.28%,0.30%,$146K,$790K
ALU/USDT Altura,$0.1145,3y,454,454,454,0%,0.06%,1.52%,7.33%,$176K,$151.2M
OMIKAMI/USDC AMATERASU OMIKAMI,$0.03687,2y,137,137,137,0%,-0.36%,6.07%,-3.02%,$1.1M,$36.8M
GLITCHIZA/SOL GLITCHIZA,$0.0006520,1mo,"6,904","6,904","6,904",-1.65%,-10.32%,-30.32%,43.93%,$128K,$651K
TARDI/SUI Tardi,$0.02882,25d,"3,208","3,208","3,208",-0.41%,1.04%,17.24%,25.08%,$1.0M,$28.8M
WOJAK/WETH Wojak Coin,$0.0009703,1y,218,218,218,0%,0.48%,1.31%,-2.42%,$6.7M,$67.3M
CIF/WAPE Crypto Is Fun,$0.0003421,2mo,374,374,374,-0.31%,-0.08%,4.18%,0.74%,$93K,$342K
GIGA🧠/SOL GIGABRAIN,$0.004215,12d,"4,331","4,331","4,331",-1.17%,-2.14%,7.01%,-11.83%,$352K,$2.3M
BILLY/SOL BILLY,$0.02114,6mo,"2,834","2,834","2,834",-0.67%,0.58%,3.81%,-0.05%,$2.9M,$20.7M
OMIRA/WETH Omira,$0.06876,1mo,149,149,149,0%,-1.10%,10.10%,-3.15%,$542K,$6.8M
